codigo_actividad,meta_participantes,duracion_horas,fecha_realizacion,codigo_participante
"ACT-001","25","6.00","2024-03-10","PAR-004"
"ACT-001","25","6.00","2024-03-10","PAR-012"
"ACT-001","25","6.00","2024-03-10","PAR-014"
"ACT-001","25","6.00","2024-03-10","PAR-015"
"ACT-001","25","6.00","2024-03-10","PAR-062"
"ACT-001","25","6.00","2024-03-10","PAR-200"
"ACT-001","25","6.00","2024-03-10","PAR-213"
"ACT-001","25","6.00","2024-03-10","PAR-278"
"ACT-001","25","6.00","2024-03-10","PAR-282"
"ACT-002","30","8.00","2024-04-16","PAR-001"
"ACT-002","30","8.00","2024-04-16","PAR-012"
"ACT-002","30","8.00","2024-04-16","PAR-014"
"ACT-002","30","8.00","2024-04-16","PAR-015"
"ACT-002","30","8.00","2024-04-16","PAR-022"
"ACT-002","30","8.00","2024-04-16","PAR-027"
"ACT-002","30","8.00","2024-04-16","PAR-042"
"ACT-002","30","8.00","2024-04-16","PAR-062"
"ACT-002","30","8.00","2024-04-16","PAR-082"
"ACT-002","30","8.00","2024-04-16","PAR-113"
"ACT-002","30","8.00","2024-04-16","PAR-121"
"ACT-002","30","8.00","2024-04-16","PAR-195"
"ACT-002","30","8.00","2024-04-16","PAR-200"
"ACT-002","30","8.00","2024-04-16","PAR-213"
"ACT-002","30","8.00","2024-04-16","PAR-278"
"ACT-002","30","8.00","2024-04-16","PAR-282"
"ACT-003","20","8.00","2024-05-05","PAR-006"
"ACT-003","20","8.00","2024-05-05","PAR-036"
"ACT-003","20","8.00","2024-05-05","PAR-075"
"ACT-003","20","8.00","2024-05-05","PAR-088"
"ACT-003","20","8.00","2024-05-05","PAR-101"
"ACT-003","20","8.00","2024-05-05","PAR-109"
"ACT-003","20","8.00","2024-05-05","PAR-117"
"ACT-003","20","8.00","2024-05-05","PAR-128"
"ACT-003","20","8.00","2024-05-05","PAR-157"
"ACT-003","20","8.00","2024-05-05","PAR-199"
"ACT-003","20","8.00","2024-05-05","PAR-216"
"ACT-003","20","8.00","2024-05-05","PAR-236"
"ACT-003","20","8.00","2024-05-05","PAR-264"
"ACT-004","35","5.00","2024-06-21","PAR-005"
"ACT-004","35","5.00","2024-06-21","PAR-036"
"ACT-004","35","5.00","2024-06-21","PAR-057"
"ACT-004","35","5.00","2024-06-21","PAR-075"
"ACT-004","35","5.00","2024-06-21","PAR-088"
"ACT-004","35","5.00","2024-06-21","PAR-101"
"ACT-004","35","5.00","2024-06-21","PAR-104"
"ACT-004","35","5.00","2024-06-21","PAR-109"
"ACT-004","35","5.00","2024-06-21","PAR-128"
"ACT-004","35","5.00","2024-06-21","PAR-144"
"ACT-004","35","5.00","2024-06-21","PAR-157"
"ACT-004","35","5.00","2024-06-21","PAR-163"
"ACT-004","35","5.00","2024-06-21","PAR-187"
"ACT-004","35","5.00","2024-06-21","PAR-216"
"ACT-004","35","5.00","2024-06-21","PAR-239"
"ACT-004","35","5.00","2024-06-21","PAR-264"
"ACT-004","35","5.00","2024-06-21","PAR-273"
"ACT-004","35","5.00","2024-06-21","PAR-289"
"ACT-005","40","4.00","2024-07-12","PAR-009"
"ACT-005","40","4.00","2024-07-12","PAR-017"
"ACT-005","40","4.00","2024-07-12","PAR-018"
"ACT-005","40","4.00","2024-07-12","PAR-032"
"ACT-005","40","4.00","2024-07-12","PAR-034"
"ACT-005","40","4.00","2024-07-12","PAR-038"
"ACT-005","40","4.00","2024-07-12","PAR-048"
"ACT-005","40","4.00","2024-07-12","PAR-049"
"ACT-005","40","4.00","2024-07-12","PAR-056"
"ACT-005","40","4.00","2024-07-12","PAR-063"
"ACT-005","40","4.00","2024-07-12","PAR-068"
"ACT-005","40","4.00","2024-07-12","PAR-073"
"ACT-005","40","4.00","2024-07-12","PAR-076"
"ACT-005","40","4.00","2024-07-12","PAR-079"
"ACT-005","40","4.00","2024-07-12","PAR-086"
"ACT-005","40","4.00","2024-07-12","PAR-090"
"ACT-005","40","4.00","2024-07-12","PAR-092"
"ACT-005","40","4.00","2024-07-12","PAR-111"
"ACT-005","40","4.00","2024-07-12","PAR-126"
"ACT-005","40","4.00","2024-07-12","PAR-134"
"ACT-005","40","4.00","2024-07-12","PAR-137"
"ACT-005","40","4.00","2024-07-12","PAR-148"
"ACT-005","40","4.00","2024-07-12","PAR-149"
"ACT-005","40","4.00","2024-07-12","PAR-161"
"ACT-005","40","4.00","2024-07-12","PAR-164"
"ACT-005","40","4.00","2024-07-12","PAR-192"
"ACT-005","40","4.00","2024-07-12","PAR-227"
"ACT-005","40","4.00","2024-07-12","PAR-243"
"ACT-005","40","4.00","2024-07-12","PAR-270"
"ACT-005","40","4.00","2024-07-12","PAR-279"
"ACT-005","40","4.00","2024-07-12","PAR-285"
"ACT-005","40","4.00","2024-07-12","PAR-288"
"ACT-005","40","4.00","2024-07-12","PAR-293"
"ACT-005","40","4.00","2024-07-12","PAR-294"
"ACT-005","40","4.00","2024-07-12","PAR-300"
"ACT-006","45","6.00","2024-08-18","PAR-009"
"ACT-006","45","6.00","2024-08-18","PAR-017"
"ACT-006","45","6.00","2024-08-18","PAR-018"
"ACT-006","45","6.00","2024-08-18","PAR-032"
"ACT-006","45","6.00","2024-08-18","PAR-034"
"ACT-006","45","6.00","2024-08-18","PAR-038"
"ACT-006","45","6.00","2024-08-18","PAR-048"
"ACT-006","45","6.00","2024-08-18","PAR-049"
"ACT-006","45","6.00","2024-08-18","PAR-051"
"ACT-006","45","6.00","2024-08-18","PAR-056"
"ACT-006","45","6.00","2024-08-18","PAR-063"
"ACT-006","45","6.00","2024-08-18","PAR-068"
"ACT-006","45","6.00","2024-08-18","PAR-073"
"ACT-006","45","6.00","2024-08-18","PAR-076"
"ACT-006","45","6.00","2024-08-18","PAR-079"
"ACT-006","45","6.00","2024-08-18","PAR-086"
"ACT-006","45","6.00","2024-08-18","PAR-090"
"ACT-006","45","6.00","2024-08-18","PAR-092"
"ACT-006","45","6.00","2024-08-18","PAR-106"
"ACT-006","45","6.00","2024-08-18","PAR-111"
"ACT-006","45","6.00","2024-08-18","PAR-126"
"ACT-006","45","6.00","2024-08-18","PAR-134"
"ACT-006","45","6.00","2024-08-18","PAR-137"
"ACT-006","45","6.00","2024-08-18","PAR-148"
"ACT-006","45","6.00","2024-08-18","PAR-149"
"ACT-006","45","6.00","2024-08-18","PAR-161"
