codigo_actividad,meta_participantes,duracion_horas,fecha_realizacion,codigo_participante
"ACT-013","33","6.00","2024-12-02","PAR-272"
"ACT-013","33","6.00","2024-12-02","PAR-273"
"ACT-013","33","6.00","2024-12-02","PAR-280"
"ACT-013","33","6.00","2024-12-02","PAR-289"
"ACT-014","36","5.00","2025-07-29","PAR-003"
"ACT-014","36","5.00","2025-07-29","PAR-005"
"ACT-014","36","5.00","2025-07-29","PAR-010"
"ACT-014","36","5.00","2025-07-29","PAR-017"
"ACT-014","36","5.00","2025-07-29","PAR-023"
"ACT-014","36","5.00","2025-07-29","PAR-028"
"ACT-014","36","5.00","2025-07-29","PAR-029"
"ACT-014","36","5.00","2025-07-29","PAR-032"
"ACT-014","36","5.00","2025-07-29","PAR-035"
"ACT-014","36","5.00","2025-07-29","PAR-036"
"ACT-014","36","5.00","2025-07-29","PAR-039"
"ACT-014","36","5.00","2025-07-29","PAR-053"
"ACT-014","36","5.00","2025-07-29","PAR-055"
"ACT-014","36","5.00","2025-07-29","PAR-069"
"ACT-014","36","5.00","2025-07-29","PAR-074"
"ACT-014","36","5.00","2025-07-29","PAR-077"
"ACT-014","36","5.00","2025-07-29","PAR-083"
"ACT-014","36","5.00","2025-07-29","PAR-087"
"ACT-014","36","5.00","2025-07-29","PAR-097"
"ACT-014","36","5.00","2025-07-29","PAR-101"
"ACT-014","36","5.00","2025-07-29","PAR-104"
"ACT-014","36","5.00","2025-07-29","PAR-109"
"ACT-014","36","5.00","2025-07-29","PAR-122"
"ACT-014","36","5.00","2025-07-29","PAR-127"
"ACT-014","36","5.00","2025-07-29","PAR-128"
"ACT-014","36","5.00","2025-07-29","PAR-129"
"ACT-014","36","5.00","2025-07-29","PAR-130"
"ACT-014","36","5.00","2025-07-29","PAR-137"
"ACT-014","36","5.00","2025-07-29","PAR-150"
"ACT-014","36","5.00","2025-07-29","PAR-154"
"ACT-014","36","5.00","2025-07-29","PAR-155"
"ACT-014","36","5.00","2025-07-29","PAR-170"
"ACT-014","36","5.00","2025-07-29","PAR-171"
"ACT-014","36","5.00","2025-07-29","PAR-184"
"ACT-014","36","5.00","2025-07-29","PAR-204"
"ACT-014","36","5.00","2025-07-29","PAR-207"
"ACT-014","36","5.00","2025-07-29","PAR-212"
"ACT-014","36","5.00","2025-07-29","PAR-214"
"ACT-014","36","5.00","2025-07-29","PAR-216"
"ACT-014","36","5.00","2025-07-29","PAR-222"
"ACT-014","36","5.00","2025-07-29","PAR-230"
"ACT-014","36","5.00","2025-07-29","PAR-234"
"ACT-014","36","5.00","2025-07-29","PAR-239"
"ACT-014","36","5.00","2025-07-29","PAR-251"
"ACT-014","36","5.00","2025-07-29","PAR-261"
"ACT-014","36","5.00","2025-07-29","PAR-264"
"ACT-014","36","5.00","2025-07-29","PAR-273"
"ACT-014","36","5.00","2025-07-29","PAR-286"
"ACT-014","36","5.00","2025-07-29","PAR-289"
"ACT-015","21","6.00","2025-12-19","PAR-001"
"ACT-015","21","6.00","2025-12-19","PAR-002"
"ACT-015","21","6.00","2025-12-19","PAR-004"
"ACT-015","21","6.00","2025-12-19","PAR-012"
"ACT-015","21","6.00","2025-12-19","PAR-014"
"ACT-015","21","6.00","2025-12-19","PAR-015"
"ACT-015","21","6.00","2025-12-19","PAR-019"
"ACT-015","21","6.00","2025-12-19","PAR-022"
"ACT-015","21","6.00","2025-12-19","PAR-023"
"ACT-015","21","6.00","2025-12-19","PAR-027"
"ACT-015","21","6.00","2025-12-19","PAR-033"
"ACT-015","21","6.00","2025-12-19","PAR-041"
"ACT-015","21","6.00","2025-12-19","PAR-042"
"ACT-015","21","6.00","2025-12-19","PAR-050"
"ACT-015","21","6.00","2025-12-19","PAR-055"
"ACT-015","21","6.00","2025-12-19","PAR-057"
"ACT-015","21","6.00","2025-12-19","PAR-062"
"ACT-015","21","6.00","2025-12-19","PAR-074"
"ACT-015","21","6.00","2025-12-19","PAR-087"
"ACT-015","21","6.00","2025-12-19","PAR-096"
"ACT-015","21","6.00","2025-12-19","PAR-100"
"ACT-015","21","6.00","2025-12-19","PAR-102"
"ACT-015","21","6.00","2025-12-19","PAR-103"
"ACT-015","21","6.00","2025-12-19","PAR-113"
"ACT-015","21","6.00","2025-12-19","PAR-125"
"ACT-015","21","6.00","2025-12-19","PAR-130"
"ACT-015","21","6.00","2025-12-19","PAR-131"
"ACT-015","21","6.00","2025-12-19","PAR-135"
"ACT-015","21","6.00","2025-12-19","PAR-142"
"ACT-015","21","6.00","2025-12-19","PAR-144"
"ACT-015","21","6.00","2025-12-19","PAR-145"
"ACT-015","21","6.00","2025-12-19","PAR-147"
"ACT-015","21","6.00","2025-12-19","PAR-153"
"ACT-015","21","6.00","2025-12-19","PAR-160"
"ACT-015","21","6.00","2025-12-19","PAR-166"
"ACT-015","21","6.00","2025-12-19","PAR-168"
"ACT-015","21","6.00","2025-12-19","PAR-176"
"ACT-015","21","6.00","2025-12-19","PAR-183"
"ACT-015","21","6.00","2025-12-19","PAR-192"
"ACT-015","21","6.00","2025-12-19","PAR-195"
"ACT-015","21","6.00","2025-12-19","PAR-213"
"ACT-015","21","6.00","2025-12-19","PAR-216"
"ACT-015","21","6.00","2025-12-19","PAR-218"
"ACT-015","21","6.00","2025-12-19","PAR-224"
"ACT-015","21","6.00","2025-12-19","PAR-228"
"ACT-015","21","6.00","2025-12-19","PAR-231"
"ACT-015","21","6.00","2025-12-19","PAR-233"
"ACT-015","21","6.00","2025-12-19","PAR-240"
