codigo_actividad,meta_participantes,duracion_horas,fecha_realizacion,codigo_participante
"ACT-023","25","8.00","2025-11-17","PAR-021"
"ACT-023","25","8.00","2025-11-17","PAR-024"
"ACT-023","25","8.00","2025-11-17","PAR-025"
"ACT-023","25","8.00","2025-11-17","PAR-031"
"ACT-023","25","8.00","2025-11-17","PAR-037"
"ACT-023","25","8.00","2025-11-17","PAR-041"
"ACT-023","25","8.00","2025-11-17","PAR-044"
"ACT-023","25","8.00","2025-11-17","PAR-058"
"ACT-023","25","8.00","2025-11-17","PAR-063"
"ACT-023","25","8.00","2025-11-17","PAR-066"
"ACT-023","25","8.00","2025-11-17","PAR-073"
"ACT-023","25","8.00","2025-11-17","PAR-077"
"ACT-023","25","8.00","2025-11-17","PAR-084"
"ACT-023","25","8.00","2025-11-17","PAR-089"
"ACT-023","25","8.00","2025-11-17","PAR-091"
"ACT-023","25","8.00","2025-11-17","PAR-093"
"ACT-023","25","8.00","2025-11-17","PAR-094"
"ACT-023","25","8.00","2025-11-17","PAR-095"
"ACT-023","25","8.00","2025-11-17","PAR-102"
"ACT-023","25","8.00","2025-11-17","PAR-103"
"ACT-023","25","8.00","2025-11-17","PAR-111"
"ACT-023","25","8.00","2025-11-17","PAR-112"
"ACT-023","25","8.00","2025-11-17","PAR-114"
"ACT-023","25","8.00","2025-11-17","PAR-118"
"ACT-023","25","8.00","2025-11-17","PAR-122"
"ACT-023","25","8.00","2025-11-17","PAR-124"
"ACT-023","25","8.00","2025-11-17","PAR-128"
"ACT-023","25","8.00","2025-11-17","PAR-131"
"ACT-023","25","8.00","2025-11-17","PAR-132"
"ACT-023","25","8.00","2025-11-17","PAR-139"
"ACT-023","25","8.00","2025-11-17","PAR-149"
"ACT-023","25","8.00","2025-11-17","PAR-153"
"ACT-023","25","8.00","2025-11-17","PAR-154"
"ACT-023","25","8.00","2025-11-17","PAR-159"
"ACT-023","25","8.00","2025-11-17","PAR-162"
"ACT-023","25","8.00","2025-11-17","PAR-174"
"ACT-023","25","8.00","2025-11-17","PAR-178"
"ACT-023","25","8.00","2025-11-17","PAR-179"
"ACT-023","25","8.00","2025-11-17","PAR-182"
"ACT-023","25","8.00","2025-11-17","PAR-198"
"ACT-023","25","8.00","2025-11-17","PAR-201"
"ACT-023","25","8.00","2025-11-17","PAR-202"
"ACT-023","25","8.00","2025-11-17","PAR-208"
"ACT-023","25","8.00","2025-11-17","PAR-215"
"ACT-023","25","8.00","2025-11-17","PAR-221"
"ACT-023","25","8.00","2025-11-17","PAR-223"
"ACT-023","25","8.00","2025-11-17","PAR-225"
"ACT-023","25","8.00","2025-11-17","PAR-228"
"ACT-023","25","8.00","2025-11-17","PAR-231"
"ACT-023","25","8.00","2025-11-17","PAR-241"
"ACT-023","25","8.00","2025-11-17","PAR-244"
"ACT-023","25","8.00","2025-11-17","PAR-245"
"ACT-023","25","8.00","2025-11-17","PAR-247"
"ACT-023","25","8.00","2025-11-17","PAR-251"
"ACT-023","25","8.00","2025-11-17","PAR-255"
"ACT-023","25","8.00","2025-11-17","PAR-259"
"ACT-023","25","8.00","2025-11-17","PAR-266"
"ACT-023","25","8.00","2025-11-17","PAR-274"
"ACT-023","25","8.00","2025-11-17","PAR-275"
"ACT-023","25","8.00","2025-11-17","PAR-276"
"ACT-023","25","8.00","2025-11-17","PAR-277"
"ACT-023","25","8.00","2025-11-17","PAR-286"
"ACT-023","25","8.00","2025-11-17","PAR-287"
"ACT-023","25","8.00","2025-11-17","PAR-291"
"ACT-023","25","8.00","2025-11-17","PAR-292"
"ACT-023","25","8.00","2025-11-17","PAR-296"
"ACT-023","25","8.00","2025-11-17","PAR-298"
"ACT-024","20","6.00","2025-01-22","PAR-003"
"ACT-024","20","6.00","2025-01-22","PAR-005"
"ACT-024","20","6.00","2025-01-22","PAR-010"
"ACT-024","20","6.00","2025-01-22","PAR-017"
"ACT-024","20","6.00","2025-01-22","PAR-023"
"ACT-024","20","6.00","2025-01-22","PAR-028"
"ACT-024","20","6.00","2025-01-22","PAR-029"
"ACT-024","20","6.00","2025-01-22","PAR-032"
"ACT-024","20","6.00","2025-01-22","PAR-036"
"ACT-024","20","6.00","2025-01-22","PAR-039"
"ACT-024","20","6.00","2025-01-22","PAR-064"
"ACT-024","20","6.00","2025-01-22","PAR-075"
"ACT-024","20","6.00","2025-01-22","PAR-083"
"ACT-024","20","6.00","2025-01-22","PAR-087"
"ACT-024","20","6.00","2025-01-22","PAR-088"
"ACT-024","20","6.00","2025-01-22","PAR-101"
"ACT-024","20","6.00","2025-01-22","PAR-104"
"ACT-024","20","6.00","2025-01-22","PAR-109"
"ACT-024","20","6.00","2025-01-22","PAR-115"
"ACT-024","20","6.00","2025-01-22","PAR-122"
"ACT-024","20","6.00","2025-01-22","PAR-128"
"ACT-024","20","6.00","2025-01-22","PAR-129"
